[Gene ID]	[source_id]	[Gene Name or Symbol]	[Organism]	[Computed GO Component IDs]	[Computed GO Components]	[Computed GO Function IDs]	[Computed GO Functions]	[Computed GO Process IDs]	[Computed GO Processes]	[Curated GO Component IDs]	[Curated GO Components]	[Curated GO Function IDs]	[Curated GO Functions]	[Curated GO Process IDs]	[Curated GO Processes]	[EC numbers]	[EC numbers from OrthoMCL]	
CNAG_00021	CNAG_00021-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0004014	adenosylmethionine decarboxylase activity	GO:0008295, GO:0006597	spermidine biosynthetic process, spermine biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.1.1.50 (Adenosylmethionine decarboxylase)	
CNAG_00022	CNAG_00022-t26_1	N/A	C. neoformans var. grubii H99	GO:0005739	mitochondrion	GO:0004408	holocytochrome-c synthase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.4.1.17 (Holocytochrome-c synthase)	
CNAG_00023	CNAG_00023-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00024	CNAG_00024-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00024	CNAG_00024-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00024	CNAG_00024-t26_3	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00025	CNAG_00025-t26_1	VCX1	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	N/A	N/A	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	GO:0009405, GO:0051592	pathogenesis, response to calcium ion	N/A	N/A	
CNAG_00025	CNAG_00025-t26_2	VCX1	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	N/A	N/A	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	GO:0009405, GO:0051592	pathogenesis, response to calcium ion	N/A	N/A	
CNAG_00026	CNAG_00026-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0030170	pyridoxal phosphate binding	GO:0009058	biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.6.1.7 (Kynurenine--oxoglutarate transaminase)	
CNAG_00026	CNAG_00026-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0030170	pyridoxal phosphate binding	GO:0009058	biosynthetic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.6.1.7 (Kynurenine--oxoglutarate transaminase)	
CNAG_00027	CNAG_00027-t26_1	N/A	C. neoformans var. grubii H99	GO:0005634	nucleus	GO:0000981, GO:0008270	RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding	GO:0006355	regulation of transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00028	CNAG_00028-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	N/A	N/A	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00028	CNAG_00028-t26_2	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	N/A	N/A	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00029	CNAG_00029-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0051287, GO:0016616	NAD binding, oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	GO:0008152, GO:0055114	metabolic process, oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.1.1.95 (Phosphoglycerate dehydrogenase)	
CNAG_00030	CNAG_00030-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.1.17 (Gluconolactonase)	
CNAG_00030	CNAG_00030-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.1.17 (Gluconolactonase)	
CNAG_00031	CNAG_00031-t26_1	MLR1	C. neoformans var. grubii H99	GO:0005634	nucleus	GO:0003677, GO:0000981, GO:0008270	DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding	GO:0006355, GO:0006351	regulation of transcription, DNA-templated, transcription, DNA-templated	N/A	N/A	N/A	N/A	GO:0042438	melanin biosynthetic process	N/A	N/A	
CNAG_00031	CNAG_00031-t26_2	MLR1	C. neoformans var. grubii H99	GO:0005634	nucleus	GO:0003677, GO:0000981, GO:0008270	DNA binding, RNA polymerase II transcription factor activity, sequence-specific DNA binding, zinc ion binding	GO:0006355, GO:0006351	regulation of transcription, DNA-templated, transcription, DNA-templated	N/A	N/A	N/A	N/A	GO:0042438	melanin biosynthetic process	N/A	N/A	
CNAG_00032	CNAG_00032-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003824	catalytic activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	4.1.2.20 (2-dehydro-3-deoxyglucarate aldolase)	
CNAG_00033	CNAG_00033-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00034	CNAG_00034-t26_1	RPL9B	C. neoformans var. grubii H99	GO:0005840	ribosome	GO:0019843, GO:0003735	rRNA binding, structural constituent of ribosome	GO:0006412	translation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00035	CNAG_00035-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0043565, GO:0003700, GO:0008270	sequence-specific DNA binding, transcription factor activity, sequence-specific DNA binding, zinc ion binding	GO:0006355	regulation of transcription, DNA-templated	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00036	CNAG_00036-t26_1	SEC14-2	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00038	CNAG_00038-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0016491, GO:0016747, GO:0008270	oxidoreductase activity, transferase activity, transferring acyl groups other than amino-acyl groups, zinc ion binding	GO:0055114	oxidation-reduction process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1.1.1.1 (Alcohol dehydrogenase)	
CNAG_00039	CNAG_00039-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0046872	metal ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00040	CNAG_00040-t26_1	ERG11	C. neoformans var. grubii H99	N/A	N/A	GO:0020037, GO:0005506, GO:0016705	heme binding, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	GO:0055114	oxidation-reduction process	N/A	N/A	N/A	N/A	GO:0042493	response to drug	N/A	1.14.13.70 (Sterol 14-alpha-demethylase)	
CNAG_00043	CNAG_00043-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00043	CNAG_00043-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00044	CNAG_00044-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005525, GO:0003924	GTP binding, GTPase activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.5.- (Acting on GTP; involved in cellular and subcellular movement.)	
CNAG_00045	CNAG_00045-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00046	CNAG_00046-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00047	CNAG_00047-t26_1	PKP1	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.7.11.2 ([Pyruvate dehydrogenase (acetyl-transferring)] kinase)	
CNAG_00048	CNAG_00048-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021, GO:0016020	integral component of membrane, membrane	GO:0022891, GO:0022857	substrate-specific transmembrane transporter activity, transmembrane transporter activity	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00049	CNAG_00049-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00050	CNAG_00050-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0008253	5'-nucleotidase activity	GO:0009264	deoxyribonucleotide catabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00051	CNAG_00051-t26_1	SNT1	C. neoformans var. grubii H99	N/A	N/A	GO:0003677, GO:0003682	DNA binding, chromatin binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00051	CNAG_00051-t26_2	SNT1	C. neoformans var. grubii H99	N/A	N/A	GO:0003677, GO:0003682	DNA binding, chromatin binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00052	CNAG_00052-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00053	CNAG_00053-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00054	CNAG_00054-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00055	CNAG_00055-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00056	CNAG_00056-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00057	CNAG_00057-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0042132, GO:0042578	fructose 1,6-bisphosphate 1-phosphatase activity, phosphoric ester hydrolase activity	GO:0005975	carbohydrate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.3.11 (Fructose-bisphosphatase)	
CNAG_00058	CNAG_00058-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005524, GO:0051082	ATP binding, unfolded protein binding	GO:0044267, GO:0006457	cellular protein metabolic process, protein folding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00059	CNAG_00059-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00060	CNAG_00060-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0031072, GO:0051082	heat shock protein binding, unfolded protein binding	GO:0006457	protein folding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00060	CNAG_00060-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0031072, GO:0051082	heat shock protein binding, unfolded protein binding	GO:0006457	protein folding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00061	CNAG_00061-t26_1	CIT1	C. neoformans var. grubii H99	N/A	N/A	GO:0004108, GO:0046912	citrate (Si)-synthase activity, transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer	GO:0044262	cellular carbohydrate metabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.3.3.1 (Citrate (Si)-synthase)	
CNAG_00062	CNAG_00062-t26_1	N/A	C. neoformans var. grubii H99	GO:0000502	proteasome complex	GO:0030234, GO:0005515	enzyme regulator activity, protein binding	GO:0042176	regulation of protein catabolic process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00063	CNAG_00063-t26_1	N/A	C. neoformans var. grubii H99	GO:0000786	nucleosome	GO:0003677, GO:0046982	DNA binding, protein heterodimerization activity	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00064	CNAG_00064-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	N/A	N/A	GO:0006810	transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00065	CNAG_00065-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	GO:0046907	intracellular transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00066	CNAG_00066-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00067	CNAG_00067-t26_1	SSS1	C. neoformans var. grubii H99	GO:0016020	membrane	GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity	GO:0006886, GO:0006605, GO:0015031	intracellular protein transport, protein targeting, protein transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00068	CNAG_00068-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0046872	metal ion binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00069	CNAG_00069-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00070	CNAG_00070-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00072	CNAG_00072-t26_1	N/A	C. neoformans var. grubii H99	GO:0005783	endoplasmic reticulum	GO:0016853	isomerase activity	GO:0045454	cell redox homeostasis	N/A	N/A	N/A	N/A	N/A	N/A	N/A	5.3.4.1 (Protein disulfide-isomerase)	
CNAG_00073	CNAG_00073-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00074	CNAG_00074-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00075	CNAG_00075-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00076	CNAG_00076-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0051539, GO:0003824, GO:0016787	4 iron, 4 sulfur cluster binding, catalytic activity, hydrolase activity	GO:0006281, GO:0006284	DNA repair, base-excision repair	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.2.2.- (Hydrolyzing N-glycosyl compounds.)	
CNAG_00077	CNAG_00077-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021, GO:0016020	integral component of membrane, membrane	GO:0008271, GO:0015116	secondary active sulfate transmembrane transporter activity, sulfate transmembrane transporter activity	GO:0008272, GO:0055085	sulfate transport, transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00078	CNAG_00078-t26_1	N/A	C. neoformans var. grubii H99	GO:0016021	integral component of membrane	GO:0015116	sulfate transmembrane transporter activity	GO:0008272	sulfate transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00079	CNAG_00079-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00080	CNAG_00080-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00081	CNAG_00081-t26_1	N/A	C. neoformans var. grubii H99	GO:0005622, GO:0005634	intracellular, nucleus	GO:0005515	protein binding	GO:0006396, GO:0000398	RNA processing, mRNA splicing, via spliceosome	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00082	CNAG_00082-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00083	CNAG_00083-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00084	CNAG_00084-t26_1	N/A	C. neoformans var. grubii H99	GO:0005737	cytoplasm	GO:0005524, GO:0004812, GO:0004819, GO:0016876, GO:0000166	ATP binding, aminoacyl-tRNA ligase activity, glutamine-tRNA ligase activity, ligase activity, forming aminoacyl-tRNA and related compounds, nucleotide binding	GO:0006425, GO:0043039, GO:0006418, GO:0006412	glutaminyl-tRNA aminoacylation, tRNA aminoacylation, tRNA aminoacylation for protein translation, translation	N/A	N/A	N/A	N/A	N/A	N/A	N/A	6.1.1.18 (Glutamine--tRNA ligase)	
CNAG_00085	CNAG_00085-t26_1	N/A	C. neoformans var. grubii H99	GO:0005634	nucleus	N/A	N/A	GO:0006333	chromatin assembly or disassembly	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00086	CNAG_00086-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003723, GO:0004809	RNA binding, tRNA (guanine-N2-)-methyltransferase activity	GO:0008033	tRNA processing	N/A	N/A	N/A	N/A	N/A	N/A	N/A	2.1.1.216 (tRNA (guanine(26)-N(2))-dimethyltransferase)	
CNAG_00087	CNAG_00087-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00088	CNAG_00088-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00089	CNAG_00089-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003723	RNA binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.13.- (Exoribonucleases producing 5'-phosphomonoesters.)	
CNAG_00090	CNAG_00090-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.1.3 (Triacylglycerol lipase)	
CNAG_00090	CNAG_00090-t26_2	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.1.3 (Triacylglycerol lipase)	
CNAG_00091	CNAG_00091-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00092	CNAG_00092-t26_1	N/A	C. neoformans var. grubii H99	GO:0005743	mitochondrial inner membrane	N/A	N/A	GO:0006850	mitochondrial pyruvate transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00093	CNAG_00093-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00094	CNAG_00094-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0003824, GO:0050662	catalytic activity, coenzyme binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00095	CNAG_00095-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005488	binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00096	CNAG_00096-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00097	CNAG_00097-t26_1	ITR1	C. neoformans var. grubii H99	GO:0016021, GO:0016020	integral component of membrane, membrane	GO:0022891, GO:0022857	substrate-specific transmembrane transporter activity, transmembrane transporter activity	GO:0055085	transmembrane transport	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00098	CNAG_00098-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0008474	palmitoyl-(protein) hydrolase activity	GO:0006464	cellular protein modification process	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.1.2.22 (Palmitoyl-protein hydrolase)	
CNAG_00099	CNAG_00099-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005524, GO:0003677	ATP binding, DNA binding	GO:0006260	DNA replication	N/A	N/A	N/A	N/A	N/A	N/A	N/A	3.6.4.12 (DNA helicase)	
CNAG_00100	CNAG_00100-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	GO:0005515	protein binding	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
CNAG_00101	CNAG_00101-t26_1	N/A	C. neoformans var. grubii H99	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
